,comment,sentiment,
0,kon kon sourav joshi ka fan he channel ko subscribe karo,appreciation,
1,this playlist is very good best way to learn,appreciation,
2,completed the lecture,normal,
3,you ve quickly become one of my favorite youtubers i ve been learning data science while attending college and i m hoping to become a data scientist after my enlistment in the air force,appreciation,
4,my name ghulk hello jonny bhai i m yourbig fann meri friend request le le plzz jonny bhai plzzz app request le lo,question,
5,love keralagt moving there,appreciation,
6,im just starting with programing like from the very very beginning ive already been using the nbaapi but i want to know what else can i do with that to learn more i want to be a statistician in my future any tips thanks for your videos they are helping ive also purchased mathletics and its very good,question,
7,chrom k liye like banta hai,appreciation,
8,thank you ken and data professor this tutorial was very helpful,appreciation,
9,bhai tu lallu he poco ka phone best he phir bhi add nhi kiya is list me poco x pro best choice only for best gaming best chipset ever dimencity ultra,suggestion,
10,yuhi nhi bharat ko sone ki chidiya kaha jata tha proud to be an indian,appreciation,
11,please upload complete roadmap to ml please btw awesome contents that you upload i am also excited to see million subscribers in your channel it will definitely happen soon,suggestion,
12,great helpful video can i also send you my resume for review on the next video,appreciation,
13,thanks for this video i reminded me of this book making sense of data by glenn j myatt and wayne p johnson its focused mostly on the first four parts from what i saw,appreciation,
14,your channel is like gold needle inside of haystack,appreciation,
15,i am not consistent but used to track my food habits and fitness routine i have done it very well during my graduation last year lockdown helped me badly to break my good habits but now im getting back to track since last months daysofdata played huge role in improving my learning habits you have armed us with many tricks tools so that its a fun process to do these things also you are really working at ultra level i always love to being organised so that i can minimize the error and became more effective thanks for adding value to my life through your work i will always be grateful for what i have learned from you,appreciation,
16,love you olympiad wallah,appreciation,
17,thank you so much ken when someone loves the subject and teaches it to others they will also start loving the subject with your detailed unedited video i gained a lot of confidence i used to get overwhelmed with so many terms but seeing you i understood that not everyone knows everything you just have to start with an idea and learn along the way by getting your hands dirty thank you once again have a great day,appreciation,
18,mahua moitra gave me goosebumps,appreciation,
19,wow really excited for this journey daysofdata,appreciation,
20,yes you did a great job a productive day in the life the desk from uplift looks amazing did you get a herman miller to go with that papayas seems to be a family favorite,appreciation,
